english,german,polish,Kannada,Tamil,russian,mandarin,Spanish,Hindi,Marathi,Telugu,Azerbaijani
cat,katze,kot,bekku,Poonai,kot,Māo,Gato,Billi,Manzar,pilli,pishik
dog,hund,pies,naayi,Naayi,sobaka,Gǒu,perro,Kutta,Kutreya,kukka,it
house,haus,dom,mane,Veedu,dom,jia,casa,ghar,Ghar,illu,ev
apple,apfel,jablko,sebu,ArathiPazham,yabloko,Píngguǒ,manzana,seb,sapharchand,apple,alma
Vehicle,fahrzeug,pojazd,vahana,Vandi,transport,Chēliàng,vehiculo,Gaadi,vaahan,bandi,neqliyyat vasitesi
School,schule,szkola,shaale,palli,shkola,Xuéxiào,escuela,Vidhayala,shala,badi,mekteb
computer,computer,komputer,GanakaYantra,Kanini,komputer,Diànnǎo,computadora,computer,Sanganak,computer,komputer
mother,mutter,matka,amma,Amma,mama,mama,madre,Mataji,Aai,amma,ana
father,vater,ojciec,Appa,appa,papa,baba,padre,Pitaji,Baba,naana,ata
tomato,tomate,pomidor,tometo,takkali,pomidor,Fānqié,tomate,Tamatar,Tamatar,tomato pandu,pomidor
Sword,schwert,miecz,katti,Vaazh,mech,Jiàn,espada,talwar,Talwar,Talvar,qilinc
family,familie,rodzina,kutumba,Kudumbam,semya,Jiātíng,familia,parivaar,Kutumba,kutumbam,aile
Films,filme,filmy,Chalanachitra,padangal,filmi,Diànyǐng,peliculas,Chal-Chitra,Chitrapat,chitralu,filmler
King,könig,krol,raja,raja,korol,Guówáng,Rey,Raja,Raja,Raja,kral
Mathematics,matematik,matematyka,ganitasastra,Kanakku,metematika,Shùxué,matematicas,Ganit,Ganit,Ganit,riyaziyyat
Matrix,matritze,macierz,Myāṭriks,Ani,matrica,Jǔzhèn,matriz,aavyooh,Yatra,B,matriks
Friends,freunde,przyjaciele,Snehitru,Nanbargal,druzya,Péngyǒumen,amigos,Bhidu,Mitra,dostulu,dostlar
Hell,hölle,pieklo,Naraka,Naragam,ad,Dìyù,infierno,patal,Narka,Narakam,jahannam
Universe,universum,wszechswiat,Prapancha,Prapanjam,vselennaya,Yǔzhòu,,Brahmand,Vishva,Prapancham,kainat
light,licht,swiatlo,belaku,Velicham,svet,Guāng,,Roshni,prakash,velugu,ishiq
miracle,wunder,cud,adbutha,Arputham,chudo,,,Chamatkar,Chamatkar,,modzuze
